maker,model,title,functions,life,successor,productUrl
泰和電気工業,LL-50BKN,Ior方式漏電継電器,"ELR,INS",listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,TVG-DV11,低圧用地絡過電圧継電器,OVGR,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSA-10B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSA-10F,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSA-5B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSA-5F,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSM-101B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSM-10B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSM-10F,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSM-5B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,LSM-5F,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,SLR-1B,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,SLR-1F,漏電選択装置,GROUP-LEAK,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,GRT-A,漏電・漏電火災警報器試験器,INS-TEST,discontinued,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,RGR-1,漏電・漏電火災警報器試験器,INS-TEST,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,RGR-10,漏電・漏電火災警報器試験器,INS-TEST,listed,,https://www.taiwadenki.co.jp/product/product01.php
泰和電気工業,RGR-2,漏電・漏電火災警報器試験器,INS-TEST,listed,,https://www.taiwadenki.co.jp/product/product01.php
日立産機システム,HDR-OC1,過電流継電器,OCR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-OM1,過電流継電器,OCR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-OS1,過電流継電器,OCR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-GS1,地絡過電流継電器,OCGR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-GF1,地絡方向継電器,DGR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-VU1,不足電圧継電器,UVR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-VA1,過電圧継電器,OVR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-YT1,比率差動継電器,比率差動,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-OL1,地絡過電流継電器,OCGR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDR-HG1,地絡方向継電器,DGR,current,,https://www.hitachi-ies.co.jp/products/hdn/ry.html
日立産機システム,HDL-A1A,複合形ディジタルリレー,複合・各種,current,,https://library.hitachi-ies.co.jp/Search/product/?doc=1&prod=2310
日立産機システム,HDL-A2A,複合形ディジタルリレー,複合・各種,current,,https://library.hitachi-ies.co.jp/Search/product/?doc=1&prod=2310
日立産機システム,HDL-A1,複合形ディジタルリレー,複合・各種,discontinued,HDL-A1A,https://library.hitachi-ies.co.jp/Search/product/?doc=1&prod=2310
日立産機システム,HDL-A2,複合形ディジタルリレー,複合・各種,discontinued,HDL-A2A,https://library.hitachi-ies.co.jp/Search/product/?doc=1&prod=2310
日立産機システム,ZE-1NF,低圧絶縁監視ユニット,INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-1NB,低圧絶縁監視ユニット,INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-1RF,低圧絶縁監視ユニット（漏電リレー機能付）,"INS,ELR",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-1RB,低圧絶縁監視ユニット（漏電リレー機能付）,"INS,ELR",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2NF,低圧絶縁監視ユニット,INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2NB,低圧絶縁監視ユニット,INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2RF,低圧絶縁監視ユニット（漏電リレー機能付）,"INS,ELR",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2RB,低圧絶縁監視ユニット（漏電リレー機能付）,"INS,ELR",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-6NF3,集合形低圧絶縁監視ユニット,GROUP-INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-6NB3,集合形低圧絶縁監視ユニット,GROUP-INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-6RF3,集合形低圧絶縁監視ユニット（漏電リレー機能付）,"GROUP-INS,GROUP-LEAK",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-6RB3,集合形低圧絶縁監視ユニット（漏電リレー機能付）,"GROUP-INS,GROUP-LEAK",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-10NF3,集合形低圧絶縁監視ユニット,GROUP-INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-10NB3,集合形低圧絶縁監視ユニット,GROUP-INS,current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-10RF3,集合形低圧絶縁監視ユニット（漏電リレー機能付）,"GROUP-INS,GROUP-LEAK",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-10RB3,集合形低圧絶縁監視ユニット（漏電リレー機能付）,"GROUP-INS,GROUP-LEAK",current,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-1NF-4A,低圧絶縁監視ユニット 4000mAオーダー品,INS,listed,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-1NB-4A,低圧絶縁監視ユニット 4000mAオーダー品,INS,listed,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2NF-4A,低圧絶縁監視ユニット 4000mAオーダー品,INS,listed,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
日立産機システム,ZE-2NB-4A,低圧絶縁監視ユニット 4000mAオーダー品,INS,listed,,https://www.hitachi-ies.co.jp/products/kanshi/zetsuen/index.html
第一エレクトロニクス,DMR-F,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-RR,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-FR,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-B,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-S,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-FW,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DMR-SW,ディジタルマルチリレー DMR-Pro,複合・各種,current,,https://www.daiichi-ele.co.jp/product/product_0067.html
第一エレクトロニクス,DRPR-72,ディジタル逆電力リレー,"RPR,UPR",current,,https://www.daiichi-ele.co.jp/product/product_0102.html
第一エレクトロニクス,DVRR-72,ディジタル地絡過電圧・逆電力リレー,"OVGR,RPR",current,,https://www.daiichi-ele.co.jp/product/product_0104.html
第一エレクトロニクス,DLOR-110,ディジタル漏電・過負荷リレー,"ELR,INS,OCR,モータ保護",current,,https://www.daiichi-ele.co.jp/product/product_0096.html
エネゲート,CUP-C1T,ディジタル過電流保護リレー,"OCR,OCGR",current,,https://www.enegate.co.jp/products/denryoku/denryoku03.html
美和電気,AE-511,欠相・過電圧継電器,"OVR,三相電圧",current,,https://www.miwa-denki.co.jp/products/keidenki/
美和電気,VC-8E2,異常電圧検出継電器,"OVR,UVR",current,,https://www.miwa-denki.co.jp/products/keidenki/
美和電気,PG-121,段階式地絡過電圧継電器,OVGR,current,,https://www.miwa-denki.co.jp/products/keidenki/
美和電気,PG-191,段階式地絡過電圧継電器,OVGR,current,,https://www.miwa-denki.co.jp/products/keidenki/
美和電気,AE-302B,電圧監視継電器,三相電圧,current,,https://www.miwa-denki.co.jp/products/keidenki/
美和電気,AE-501,欠相・過電圧継電器,"OVR,三相電圧",discontinued,AE-511,https://www.miwa-denki.co.jp/products/keidenki/
長谷川電機工業,RHG-1,広温形高圧地絡継電器,GR,current,,https://www.hasegawa-elec.co.jp/archives/relay_cate/acrelay/ac-high
長谷川電機工業,RDG-UF8D,アナログ形地絡方向継電器,DGR,current,,https://www.hasegawa-elec.co.jp/archives/relay_cate/acrelay/ac-high
長谷川電機工業,VG-BM7A,静止形母線継電器,複合・各種,current,,https://www.hasegawa-elec.co.jp/archives/relay_cate/acrelay/ac-high
長谷川電機工業,VDG-PD1,プラグイン式地絡保護継電器,DGR,current,,https://www.hasegawa-elec.co.jp/archives/relay_cate/acrelay/ac-high
長谷川電機工業,VVG-PD1,プラグイン式地絡保護継電器,OVGR,current,,https://www.hasegawa-elec.co.jp/archives/relay_cate/acrelay/ac-high
長谷川電機工業,VG-HSV5,旧形地絡保護継電器,GR,legacy,RHG-1,https://www.hasegawa-elec.co.jp/faq/relay
長谷川電機工業,VG-BM4,旧形地絡保護継電器,複合・各種,legacy,VG-BM7A,https://www.hasegawa-elec.co.jp/faq/relay
長谷川電機工業,VG-UF3T,旧形地絡保護継電器,DGR,legacy,RDG-UF8D,https://www.hasegawa-elec.co.jp/faq/relay
戸上電機製作所,LTR-R-O,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-F,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-O,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-OQ12,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DO,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DF,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R2-DF,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-D,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DO,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOQ12,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOQ1222,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-OT,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-OT,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-OTQ12,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DOT,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOT,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOTQ12,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOTQ1221,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DOP,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-OP,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-OTP,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DOTP,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOLQ12,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-OLQ12,SOG制御装置（無方向性）,"SOG,GR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DB,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DOB,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DOTB,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-R-DFB,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOTB,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
戸上電機製作所,LTR-RS-DOBQ12,SOG制御装置（方向性）,"SOG,DGR",current,,https://www.togami-elec.co.jp/product/sog_seigyo/product_202.php
