メーカー,型式,前身,後継/代替,状態,根拠
日新電機,UAH-H22-D1,,D1UAH-66,discontinued,日新電機 U形 生産終了品一覧
日新電機,UOR-10-D1,,D1UOR-36,discontinued,日新電機 U形 生産終了品一覧
日新電機,UOR-30-D1,,D1UOR1-15A,discontinued,日新電機 U形 生産終了品一覧
日新電機,UOR-42-D1,,D1UOR1-15B / D1UOR-25B,discontinued,日新電機 U形 生産終了品一覧
日新電機,UOR-61-D1,,D1UOR1-15A,discontinued,日新電機 U形 生産終了品一覧
オムロン,COS-C-F4,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-C-R2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-C3-F4,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-C3-R2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-C3HT-F4,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-C3HT-R2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-CHT-F4,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-CHT-R2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-O-F4,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-O-R2,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-OHT-F4,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,COS-OHT-R2,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（COS系列）
オムロン,CO-C-D2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C-F1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C-R1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3-D2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3-F1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3-R1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3HT-D2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3HT-F1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-C3HT-R1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CH-D2,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CH-F1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CH-R1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CHT-D2,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CHT-F1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-CHT-R1,,K2OC-AVN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1-D2,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1-F1,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1-R1,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1H-D2,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1H-F1,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-L1H-R1,,K2CG-B,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LA-D2,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LA-F1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LA-R1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LAH-D2,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LAH-F1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-LAH-R1,,K2CA-DO3,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-O-D2,,K2CA-DOシリーズ / K2CA-HCシリーズ,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-O-F1,,K2CA-DOシリーズ / K2CA-HCシリーズ,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-O-R1,,K2CA-DOシリーズ / K2CA-HCシリーズ,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-OHT-D2,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-OHT-F1,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
オムロン,CO-OHT-R1,,K2OC-ACN,discontinued,オムロン 生産終了品/推奨代替品（CO系列）
三菱電機,MOC-1-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1T-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1I-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1TI-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1I-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1T-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1TI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1A-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1AI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1N-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1NI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1B-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1BI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1AB-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-1ABI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2T-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2I-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2TI-D,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2B-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2IB-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2T-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2I-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-2TI-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOG-2-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOG-2I-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-E1V-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-E1V-RD,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-E1T-R,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOC-E1T-RD,,MOC-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MDG-1V-R,,MDG-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MDG-E1V-R,,MDG-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MDG-E1V-RD,,MDG-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MDG-E2V-R,,MDG-A4,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MDG-E2V-RD,,MDG-A4,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-1V-P,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-1V-F,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-1V-R,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-1C-R,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-1VB-F,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-E1V-F,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-E1VB-F,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-E1V-R,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-E1T-R,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MGR-E1V-RD,,MGR-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MUV-E1V-R,,MUV-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MUV-E11V-R,,MUV-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MUV-E1V-RD,,MUV-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOV-E1V-R,,MOV-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MOV-E1V-RD,,MOV-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MVG-E1V-R,,MVG-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MVG-E1V-RD,,MVG-A3,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MVG-E2V-R,,MVG-A4,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,MVG-E2V-RD,,MVG-A4,discontinued,三菱電機FA 生産中止機種マニュアル検索
三菱電機,CW-12B-D,,CGP1-A41/A42D1,discontinued,三菱電機FA 生産中止機種[C**形]マニュアル検索
光商工,LDG-13DP,,LDG-83P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LDG-13DP2,,LDG-83P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LDG-11DP,,LDG-81P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LDG-11DP2,,LDG-81P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LVG-2P,,LVG-8P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LVG-2P2,,LVG-8P,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-21,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-31,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-41,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-141,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-171,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-171A,,LEG-191,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-102A,,LEG-108 / LEG-109,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-102B,,LEG-108 / LEG-109,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-102C,,LEG-108 / LEG-109,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-61,,LEG-108 / LEG-109,discontinued,光商工 公式製品・新旧比較ページ
光商工,LEG-161,,LEG-108 / LEG-109,discontinued,光商工 公式製品・新旧比較ページ
オムロン,K2FA-D□□-D2,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
オムロン,K2FA-D□□-F4,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
オムロン,K2FA-D□□-R2,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
オムロン,K2FA-S□□-D2,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
オムロン,K2FA-S□□-F4,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
オムロン,K2FA-S□□-R2,,K2FW,discontinued,オムロン 生産終了/代替品 K2FA
